IncidentId,UniqueId,Name,Location,Latitude,Longitude,AcresBurnedDisplay,PercentContainedDisplay,ExternalIncidentLink,CountiesList,UpdatedDate,StartedDate,AdminUnit,IncidentTypeDisplay,Url,IsActive
812,42af9060-4b93-4919-bd89-9fe684b41fd3,Honcut Fire,off Palermo Honcut Highway and Ahart Road near the community of Honcut,0.0,0.0,60,100%,,Butte,2014-01-02 07:30:00,2014-01-01,CAL FIRE Butte Unit,,https://www.fire.ca.gov/incidents/2014/1/1/honcut-fire/,N,
847,857e832f-17bd-4ad2-8789-99b003187049,Morgan Fire,near the 16,000 block of Highway 168 near Prather,36.991825,-119.525506,40,100%,,Fresno,2014-06-11 07:30:00,2014-06-09,CAL FIRE Fresno-Kings Unit,,https://www.fire.ca.gov/incidents/2014/6/9/morgan-fire/,N,
848,45cf54ae-c166-4f81-816f-2e0ef959a56e,Norman Fire,off Rolling Hills Lane, north of Vacaville ,121.999,38.453,70,100%,,Solano,2014-06-13 08:00:00,2014-06-12,CAL FIRE Sonoma-Lake-Napa Unit,,https://www.fire.ca.gov/incidents/2014/6/12/norman-fire/,N,
849,50567f4a-c56d-4d73-9855-f5d81fa74025,Haigh Fire,Highway 49 and Haigh Rd., north of Coulterville,37.7103,-120.197,130,100%,,Mariposa,2014-06-13 18:30:00,2014-06-10,CAL FIRE Madera-Mariposa-Merced Unit,,https://www.fire.ca.gov/incidents/2014/6/10/haigh-fire/,N,
850,8ede9823-938e-4786-97b8-a0f42b852cb2,Shirley Fire,3 Miles south of Shirley Meadows,35.70683,-118.555527,3,895,100%,,Kern,2014-06-20 08:30:00,2014-06-13,Sequoia National Forest,,https://www.fire.ca.gov/incidents/2014/6/13/shirley-fire/,N,
851,724209e0-12b0-4d49-b798-8ccacf95e668,Tehama Fire,Rancho Tehama, southwest of Red Bluff,40.009827,-122.345078,225,100%,,Tehama,2014-06-13 13:50:00,2014-06-13,CAL FIRE Tehama-Glenn Unit,,https://www.fire.ca.gov/incidents/2014/6/13/tehama-fire/,N,
852,e54fa953-24b9-4581-86f3-9931fdf3ca5e,Stoney Fire,Nacimiento Fergusson Road & Stoney Valley, Fort Hunter Liggett,0.0,0.0,4,840,100%,,Monterey,2014-06-21 19:00:00,2014-06-19,Department of Defense, US Army,,https://www.fire.ca.gov/incidents/2014/6/19/stoney-fire/,N,
853,2b382ade-87e2-4cff-92f7-67328139d7eb,Reed Fire,off George Reed Drive and Pool Station Road, San Andreas,120.679019,38.178241,120,100%,,Calaveras,2014-06-21 19:00:00,2014-06-20,CAL FIRE Tuolumne Calaveras Unit,,https://www.fire.ca.gov/incidents/2014/6/20/reed-fire/,N,
854,06ae83a9-125e-4cf5-826e-8b541b2308fd,Oak Fire,Oak Valley Road at Pool Station Road, south of San Andreas,38.058,-120.66,85,100%,,Calaveras,2014-06-24 19:00:00,2014-06-22,CAL FIRE Tuolumne Calaveras Unit,,https://www.fire.ca.gov/incidents/2014/6/22/oak-fire/,N,
855,7a5c1b23-ac7c-44de-8f1a-1866ea9bf617,Curie Fire,Off Curie Drive south of San Jose,0.0,0.0,125,100%,,Santa Clara,2014-07-01 08:30:00,2014-06-30,CAL FIRE Santa Clara Unit,,https://www.fire.ca.gov/incidents/2014/6/30/curie-fire/,N,
856,2437bb57-1d09-4892-8c26-a60661dae1d9,Butts Fire,Off Butts Canyon Rd in Pope Valley, northwest of Lake Berryessa,38.664,-122.454,4,300,100%,,Napa, Lake,2014-07-09 18:00:00,2014-07-01,CAL FIRE Sonoma-Lake-Napa Unit,,https://www.fire.ca.gov/incidents/2014/7/1/butts-fire/,N,
857,da607cd1-32fc-44c0-bd7a-ba14ad0a14cc,Bible Fire,off Mt Aukum Rd, Somerset ,38.608336,-120.703238,30,100%,,El Dorado,2014-07-09 16:45:00,2014-07-09,CAL FIRE Amador-El Dorado Unit,,https://www.fire.ca.gov/incidents/2014/7/9/bible-fire/,N,
858,3a1fab73-882a-478c-b289-504497db4d64,Bully Fire,Plantina Road at Bland Road, Igo,40.4314,-122.750788,12,661,100%,,Shasta,2014-07-26 20:00:00,2014-07-11,CAL FIRE Shasta-Trinity Unit,,https://www.fire.ca.gov/incidents/2014/7/11/bully-fire/,N,
859,756d8f5b-bc05-4741-a5a3-3b20ca21906d,Monticello Fire,Hwy 128 at Monticello Dam, southeast shore of Lake Berryessa ,38.512,-122.104,6,488,100%,,Yolo,2014-07-12 18:00:00,2014-07-04,CAL FIRE Sonoma-Lake-Napa Unit,,https://www.fire.ca.gov/incidents/2014/7/4/monticello-fire/,N,
860,00089805-cdee-4607-8b67-1653bee463bc,Gulch Fire,Off highway 139, 15 miles north of Canby - The fire is burning on the east side of Hwy 139,41.489,-120.904,1,469,100%,,Modoc,2014-07-07 07:00:00,2014-07-03,CAL FIRE Lassen-Modoc Unit / Modoc National Forest,,https://www.fire.ca.gov/incidents/2014/7/3/gulch-fire/,N,
861,9487beeb-6c40-46fc-b4b3-a353a688a826,Ranch Fire,Southwest of Greenhorn Summit,0.0,0.0,70,100%,,Kern,2014-07-06 08:30:00,2014-07-01,Sequoia National Forest,,https://www.fire.ca.gov/incidents/2014/7/1/ranch-fire/,N,
862,8f48a8a9-facf-49e8-92dc-ea1147e53792,Modoc Lightning Complex,15 fires across the Modoc National Forest,41.89,-120.79,1,651,100%,,Modoc,2014-07-03 10:30:00,2014-07-01,Modoc National Forest,,https://www.fire.ca.gov/incidents/2014/7/1/modoc-lightning-complex/,N,
863,62c2a563-1768-4c94-ac71-694a553cfdf8,West Fire,near the Trinity Pines community,40.41,-123.24,15,100%,,Trinity,2014-07-03 10:45:00,2014-07-01,Shasta - Trinity National Forest,,https://www.fire.ca.gov/incidents/2014/7/1/west-fire/,N,
864,d2623c2c-ff3d-419e-a129-b3aa542c05c4,Banner Fire,Banner Grade, east of Julian,33.078948,-116.576454,217,100%,,San Diego,2014-07-06 09:15:00,2014-07-03,CAL FIRE San Diego Unit,,https://www.fire.ca.gov/incidents/2014/7/3/banner-fire/,N,
865,dc1a83b0-500c-440f-85d7-7090884f5487,Marsh Fire,off Marsh Creek Rd., near Aspara Drive, east of Clayton,37.5359,-121.5118,80,100%,,Contra Costa,2014-07-12 18:00:00,2014-07-11,CAL FIRE Santa Clara Unit,,https://www.fire.ca.gov/incidents/2014/7/11/marsh-fire/,N,
866,0bc42201-27c2-4b3d-a329-ce44bc1261d9,Cassel Fire,Off Cassel Road at Thrush Road, in Cassel,40.5719,-121.3415,75,100%,,Shasta,2014-07-08 18:30:00,2014-07-05,CAL FIRE Shasta-Trinity Unit,,https://www.fire.ca.gov/incidents/2014/7/5/cassel-fire/,N,
867,1df51ee3-c15a-4266-bf3d-d52272189cff,Interlake Fire,along Interlake Road between Monterey & San Luis Obispo County,35.8218,-121.0226,47,100%,,San Luis Obispo,2014-07-08 18:30:00,2014-07-07,CAL FIRE San Benito-Monterey Unit,,https://www.fire.ca.gov/incidents/2014/7/7/interlake-fire/,N,
868,61506ea2-3f16-4aa6-ba54-d7788c3a2b35,Hutto Fire,on Hutto Rd & Keller Rd in Smartsville,39.1871,-121.2687,38,100%,,Nevada,2014-07-08 06:56:00,2014-07-07,CAL FIRE Nevada-Yuba-Placer,,https://www.fire.ca.gov/incidents/2014/7/7/hutto-fire/,N,
869,dcbc7afb-cdef-49a3-822e-20bbaa86a5d0,Dry Fire,off Hwy 299 & Dry Creek Rd, east of Bella Vista,40.6569,-122.2215,143,100%,,Shasta,2014-07-10 07:30:00,2014-07-09,CAL FIRE Shasta-Trinity Unit,,https://www.fire.ca.gov/incidents/2014/7/9/dry-fire/,N,
870,45abd556-f41f-4507-91a5-1cf2f751bb4c,Nicolls Fire ,Kelso Valley/Onyx area,35.642,-118.15,1,680,100%,,Kern,2014-07-21 14:45:00,2014-07-11,Sequoia National Forest,,https://www.fire.ca.gov/incidents/2014/7/11/nicolls-fire/,N,
871,e22ad5eb-2085-4a09-887f-fc54756527ce,Iowa Fire,Iowa Hill Road south of Colfax,0.0,0.0,14,100%,,Placer,2014-07-22 18:00:00,2014-07-21,CAL FIRE Nevada-Yuba-Placer Unit,,https://www.fire.ca.gov/incidents/2014/7/21/iowa-fire/,N,
872,7ac5c3c7-ba1d-47c4-8678-727729c51465,Sabina Fire,Sabina Road and Ballinger Road in the community of Aguanga,0.0,0.0,78,100%,,Riverside,2014-07-24 09:00:00,2014-07-23,CAL FIRE/Riverside County Fire,,https://www.fire.ca.gov/incidents/2014/7/23/sabina-fire/,N,
873,9c21bb74-e919-403c-8a43-05f561669e4e,Wildlife Fire,Wildlife Area - Larkin Road, west of Oroville<br><br>Road Closures: None, the Wildlife area north of the Afterbay Outlet is closed to the public.,39.4664,-121.6129,72,100%,,Butte,2014-07-16 08:00:00,2014-07-14,CAL FIRE Butte Unit,,https://www.fire.ca.gov/incidents/2014/7/14/wildlife-fire/,N,
874,3383fa93-aaf8-4f81-a980-5ba86b893039,El Portal Fire,Near Highway 140 and community of El Portal,0.0,0.0,4,689,100%,,Mariposa,2014-08-10 08:15:00,2014-07-26,Yosemite National Park and Stanislaus National Forest,,https://www.fire.ca.gov/incidents/2014/7/26/el-portal-fire/,N,
875,deb3922d-eba2-4f08-abf7-d453d14e32ab,Gun Club Fire,Gun Club Rd. at the Santa Fe Canal, Gustine,0.0,0.0,300,100%,,Merced,2014-07-25 09:15:00,2014-07-24,CAL FIRE Madera-Mariposa-Merced Unit,,https://www.fire.ca.gov/incidents/2014/7/24/gun-club-fire/,N,
876,4d07ccc3-32be-4a1d-acac-18333884c97d,Sand Fire,East of Highway 49, 5 miles north of Plymouth,38.5691,-120.7819,4,240,100%,,Amador, El Dorado,2019-11-12 10:27:44,2014-07-25,CAL FIRE Amador-El Dorado Unit,Wildfire,https://www.fire.ca.gov/incidents/2014/7/25/sand-fire/,N,
877,0567f7bd-c345-4124-9526-b8f88a938b01,McClellan Fire,on Hwy 36 at McClellan Mountain Rd in Dinsmore,0.0,0.0,37,100%,,Humboldt,2014-08-02 08:00:00,2014-08-01,CAL FIRE Humboldt-Del Norte Unit,,https://www.fire.ca.gov/incidents/2014/8/1/mcclellan-fire/,N,
878,045a1a18-72e4-4579-b64c-f34b33a1031b,Bald Fire,8 miles southeast of Fall River Mills,40.901,-121.368,39,736,100%,,Shasta,2014-08-15 14:00:00,2014-07-30,CAL FIRE Lassen-Modoc Unit / USFS - Lassen National Forest,,https://www.fire.ca.gov/incidents/2014/7/30/bald-fire/,N,
879,e3b7143d-6faa-4962-9fe5-c2d1559c5d20,Day Fire,North of the community of Day,41.1336,-121.2144,13,153,100%,,Modoc,2014-08-13 07:00:00,2014-07-30,CAL FIRE Lassen-Modoc Unit,,https://www.fire.ca.gov/incidents/2014/7/30/day-fire/,N,
880,61c14593-8614-4365-afa7-264fcaa6ea2a,French Fire,Rock Creek Drainage, south of Mammoth Pool Reservoir,0.0,0.0,13,838,100%,,Madera,2014-07-28 14:30:00,2014-07-28,US Forest Service - Sierra National Forest,,https://www.fire.ca.gov/incidents/2014/7/28/french-fire/,N,
881,279d9058-7545-488b-8a83-51b12e60cb47,Siskiyou County Lightning Fires,Throughout Siskiyou County,0.0,0.0,30,100%,,Siskiyou,2014-08-02 11:00:00,2014-07-29,CAL FIRE Siskiyou Unit,,https://www.fire.ca.gov/incidents/2014/7/29/siskiyou-county-lightning-fires/,N,
882,7c6a9617-1c79-4b4d-9833-e76532f59103,Lodge Lightning Complex,Wilderness Lodge and Eel River Canyon area,0.0,0.0,12,536,100%,,Mendocino,2014-09-09 19:30:00,2014-07-30,CAL FIRE Mendocino Unit,,https://www.fire.ca.gov/incidents/2014/7/30/lodge-lightning-complex/,N,
883,69b38608-fab1-4df5-b9e9-0fd28bc505ba,Web Fire,Web Hollow & Big Chico Creek near Forest Ranch,0.0,0.0,389,100%,,Butte,2014-08-01 17:30:00,2014-07-28,CAL FIRE Butte Unit,,https://www.fire.ca.gov/incidents/2014/7/28/web-fire/,N,
884,3b2609f0-b3a2-493c-bf66-c5b5f64409f8,Oregon Gulch Fire (part of the Beaver Complex),Community of Copco, South of Oregon Border,42.048,-122.345,35,302,100%,,Siskiyou,2014-08-18 09:45:00,2014-07-30,CAL FIRE Siskiyou Unit / Oregon Dept. of Forestry / Oregon Office of The State Fire Marshal,,https://www.fire.ca.gov/incidents/2014/7/30/oregon-gulch-fire-part-of-the-beaver-complex/,N,
885,60ea04ec-5f5e-4a49-8fbc-fa50c17a1199,Eiler Fire,12 miles southeast of Burney near Old Station,40.72,-121.562,32,416,100%,,Shasta,2014-08-25 10:00:00,2014-07-31,CAL FIRE / USFS - Lassen National Forest,,https://www.fire.ca.gov/incidents/2014/7/31/eiler-fire/,N,
886,9d3fb01e-c29e-436a-82f8-c110a0b35179,Coffee Fire,East Fork of the Coffee Creek Drainage,41.141,-122.805,6,258,100%,,Shasta,2014-11-14 13:00:00,2014-07-30,US Forest Service - Shasta Trinity National Forest,,https://www.fire.ca.gov/incidents/2014/7/30/coffee-fire/,N,
887,59a31adf-4f31-4bf6-a6c6-fe62d2d2587f,Little Deer Fire,near Little Deer Mountain along Highway 97,41.682,-122.127,5,503,100%,,Siskiyou,2014-08-18 10:00:00,2014-07-31,CAL FIRE Siskiyou Unit / USFS-Klamath National Forest,,https://www.fire.ca.gov/incidents/2014/7/31/little-deer-fire/,N,
888,30702a48-f9b0-44c3-8ddb-acc837bc6a34,Beaver Fire,north of Highway 96, off of Beaver Creek Road,0.0,0.0,32,496,100%,,Siskiyou,2014-09-02 13:00:00,2014-07-30,US Forest Service - Klamath National Forest,,https://www.fire.ca.gov/incidents/2014/7/30/beaver-fire/,N,
889,550c60e9-6b15-4e64-bf4b-9bd5d1cb359d,July Complex,Whites Fire approximately 4 miles East of Sawyer Bar<p> Log Fire approximately 6 miles West of Greenview<p>Leef Fire approximately 7 miles Southwest of Callahan. ,0.0,0.0,50,042,100%,,Siskiyou,2014-08-06 10:00:00,2014-08-02,CAL FIRE Siskiyou Unit / USFS-Klamath National Forest,,https://www.fire.ca.gov/incidents/2014/8/2/july-complex/,N,
890,952443ab-3af0-431d-9040-c73a45925401,Leopard Fire,Hyrax Road at Dersch Road, east of Redding,40.0,29.24,25,100%,,Shasta,2014-08-29 13:15:00,2014-08-29,CAL FIRE Shasta-Trinity Unit,,https://www.fire.ca.gov/incidents/2014/8/29/leopard-fire/,N,
891,9617f422-bb7b-41ae-8ad6-670ffff875ab,South Napa Earthquake,City and County of Napa,0.0,0.0,6,100%,,Napa,2014-08-31 18:00:00,2014-08-24,CAL FIRE / Napa County Fire,,https://www.fire.ca.gov/incidents/2014/8/24/south-napa-earthquake/,N,
892,a2da7754-e907-48f2-a023-0a3053cf2903,Pines Fire,Malum Ridge Road near Bass Lake,37.0,18.4,10,100%,,Madera,2014-12-12 13:45:00,2014-08-26,USFS - Sierra National Forest,,https://www.fire.ca.gov/incidents/2014/8/26/pines-fire/,N,
893,58e7e466-8807-404e-9ef6-5a6ae11a0084,Junction Fire,off Road 425A, near the Hwy 41 and Hwy 49 junction in Oakhurst,37.3433,-119.6581,612,100%,,Madera,2014-08-25 08:25:00,2014-08-18,CAL FIRE Madera-Mariposa-Merced Unit,,https://www.fire.ca.gov/incidents/2014/8/18/junction-fire/,N,
894,91669a3c-d533-4eaa-a8d7-505d55f89e46,Little Fire,Northeast of Mud Springs, 9 miles South of Tionesta,41.507,-121.266,101,100%,,Modoc,2014-08-13 06:15:00,2014-08-12,US Forest Service - Modoc National Forest ,,https://www.fire.ca.gov/incidents/2014/8/12/little-fire/,N,
895,da500577-e558-4446-832f-0e537cc55204,Happy Camp Complex,in the Happy Camp area,41.796,-123.374,0,100%,,Siskiyou,2014-08-14 09:30:00,2014-08-11,US Forest Service - Klamath National Forest,,https://www.fire.ca.gov/incidents/2014/8/11/happy-camp-complex/,N,
896,64812487-ac4c-40da-b069-2884d7a04675,Border Fire,on Kuebler Ranch near Otay Mountain,32.59154,-116.89516,20,100%,,San Diego,2014-08-17 07:45:00,2014-08-16,CAL FIRE San Diego Unit,,https://www.fire.ca.gov/incidents/2014/8/16/border-fire/,N,
897,accb599e-35b8-4d5e-8d13-d0e4b0e4a1eb,Shoemaker Fire,upper end of East Fork San Gabriel River, North of Glendora,34.235,-117.771,190,100%,,Los Angeles,2014-12-12 14:00:00,2014-08-14,US Forest Service - Angeles National Forest,,https://www.fire.ca.gov/incidents/2014/8/14/shoemaker-fire/,N,
