IncidentId;UniqueId;Name;Location;Latitude;Longitude;AcresBurnedDisplay;PercentContainedDisplay;ExternalIncidentLink;CountiesList;UpdatedDate;StartedDate;AdminUnit;IncidentTypeDisplay;Url;IsActive;
1977;d0ae0a7f-dd7b-4cb1-8f4a-2a784a17d6d4;Wilson Fire;Wilson Lake Rd and Lost Creek Rd, 10 miles NW of Chester  ;40.34256;-121.43025;261;100%;;Tehama;2019-01-04 08:59:00;2018-09-28;Lassen National Forest;;https://www.fire.ca.gov/incidents/2018/9/28/wilson-fire/;N;
1978;b181e69a-5864-44c1-b5b4-f4c5832a4539;Silver Fire;Oak Run Rd and Little Ridge Rd, Palo Cedro;40.5939;-122.17173;76;100%;;Shasta;2019-01-04 08:58:00;2018-09-28;CAL FIRE Shasta-Trinity Unit;;https://www.fire.ca.gov/incidents/2018/9/28/silver-fire/;N;
1979;04100255-b014-4a69-92c2-5388c7f9b9d6;Quimby Fire;Quimby Rd & Borden Dr, East San Jose ;37.33563;-121.75815;30;100%;;Santa Clara;2019-01-04 09:02:00;2018-09-23;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2018/9/23/quimby-fire/;N;
1980;9856efb8-4d41-4276-9d4e-a5b29d912996;Nimshew Fire;Nimshew Rd & Centerville Rd, Magalia;39.84151;-121.62168;33;100%;;Butte;2019-01-04 09:01:00;2018-09-24;CAL FIRE Butte Unit;;https://www.fire.ca.gov/incidents/2018/9/24/nimshew-fire/;N;
1981;9c03d484-e442-4eaa-8a7b-99d6c769750a;Shandon Fire;Gillis Canyon Road and San Juan Road, east of Paso Robles;-120.258;-120.258;80;100%;;San Luis Obispo;2019-01-04 08:58:00;2018-09-29;CAL FIRE San Luis Obispo Unit;;https://www.fire.ca.gov/incidents/2018/9/29/shandon-fire/;N;
1982;2c41731e-1e13-494c-b7f7-928b89bb7d32;Keenbrook Fire;Cajon Blvd and Kenwood Ave, Devore;34.24138;-117.42431;53;100%;;San Bernardino;2019-01-04 09:00:00;2018-09-26;San Bernardino National Forest;;https://www.fire.ca.gov/incidents/2018/9/26/keenbrook-fire/;N;
1983;9d69b6cb-1dee-43df-83ca-b2b5485006d7;Nacimiento Fire;Nacimiento Fergusson Rd, west of Jolon;35.97677;-121.24898;150;100%;;Monterey;2019-01-04 08:57:00;2018-10-02;Fort Hunter Liggett Military Reservation;;https://www.fire.ca.gov/incidents/2018/10/2/nacimiento-fire/;N;
1984;8c4b830f-be4f-4469-9448-f0e98ea1d189;Eagle Fire; Bobs Flat Trail, 3 miles north of Trimmer;36.938674;-119.3127769;32;100%;;Fresno;2019-01-04 09:47:00;2018-10-02;Sierra National Forest;;https://www.fire.ca.gov/incidents/2018/10/2/eagle-fire/;N;
1985;8f633ae7-b5f0-455f-a60e-13d9566e5844;Sun Fire;Hwy 36 and Sunriver Road, east of Red Bluff;40.22027778;-122.18;3,889;100%;;Tehama;2019-01-04 08:57:00;2018-10-07;CAL FIRE Tehama-Glenn Unit;;https://www.fire.ca.gov/incidents/2018/10/7/sun-fire/;N;
1986;f19a49b4-9d0f-4c61-83ea-9b4a741b0bef;Park Fire;Monterey Road and Coyote Creek Golf Drive, north of Morgan Hill;37.1769444;-121.68694444;63;100%;;Santa Clara;2019-01-04 08:57:00;2018-10-07;CAL FIRE Santa Clara Unit/San Jose City Fire & South Santa Clara County FPD;;https://www.fire.ca.gov/incidents/2018/10/7/park-fire/;N;
1987;28725d54-51bc-41f9-99ed-aca0396be12a;Iron Gate Fire;1 mile northwest of Iron Gate Dam;41.94046;-122.43933;15;100%;;Siskiyou;2019-01-04 08:55:00;2018-10-10;CAL FIRE Siskiyou Unit;;https://www.fire.ca.gov/incidents/2018/10/10/iron-gate-fire/;N;
1988;0f754948-aba7-4423-b8f6-079f68d4d294;Branscombe Fire;Branscombe Road south of Hwy 12, Suisun City;0.0;0.0;4,500;100%;;Solano;2019-01-04 08:57:00;2018-10-07;Suisun Fire Protection District;;https://www.fire.ca.gov/incidents/2018/10/7/branscombe-fire/;N;
1989;e9c8c0aa-4d21-4f09-9858-890ea163d580;Winters Fire;Winters Rd & Allendale Rd, south of Winters;38.45673;-121.94658;160;100%;;Solano;2019-01-04 08:55:00;2018-10-12;Solano County Fire Protection District;;https://www.fire.ca.gov/incidents/2018/10/12/winters-fire/;N;
1990;8a79c31d-0df0-4448-a855-b04cfc384825;Priest Fire; Hwy 198 & Priest Valley Rd, east of San Lucas;36.18401;-120.69955;167;100%;;Monterey;2019-01-04 08:54:00;2018-10-13;CAL FIRE San Benito - Monterey Unit;;https://www.fire.ca.gov/incidents/2018/10/13/priest-fire/;N;
1991;a8f54d41-fc8c-476c-9122-f1357aa166a0;Tower Fire;Cloverdale & Clear Creek, Near the community of Igo;40.49618;-122.51597;12;100%;;Shasta;2019-01-04 08:54:00;2018-10-14;CAL FIRE Shasta - Trinity Unit;;https://www.fire.ca.gov/incidents/2018/10/14/tower-fire/;N;
1992;83c539f5-64c1-4156-86e5-ac6cf4c947d5;Masonic Fire;Lake Blvd & Masonic Ave, Redding;40.60866;-122.38366;38;100%;;Shasta;2019-01-04 08:53:00;2018-10-14;Redding City Fire;;https://www.fire.ca.gov/incidents/2018/10/14/masonic-fire/;N;
1993;b8dc21be-0807-4434-9536-45a4a660ed83;Powellton Fire;Upper Powellton Rd and Skyway, north of Stirling City;39.93427;-121.54103;10;100%;;Butte;2019-01-04 08:52:00;2018-10-15;CAL FIRE Butte Unit;;https://www.fire.ca.gov/incidents/2018/10/15/powellton-fire/;N;
1994;a728d915-1c00-43b6-bd5b-228be34a38fe;Camino Fire;Off Lopez Drive east of Arroyo Grande;35.17693;-120.48861;58;100%;;San Luis Obispo;2019-01-04 08:52:00;2018-10-19;CAL FIRE San Luis Obispo Unit;;https://www.fire.ca.gov/incidents/2018/10/19/camino-fire/;N;
1995;87760805-5b1a-486e-91c4-590557929182;Market Fire;Road 208 and Avenue 380, 5 miles north of Woodlake;36.47766;-119.10433;120;100%;;Tulare;2019-01-04 08:51:00;2018-10-24;CAL FIRE Tulare Unit;;https://www.fire.ca.gov/incidents/2018/10/24/market-fire/;N;
1996;7ee82e4f-f5e8-4278-b4e7-e82c390b395e;June Fire;Four Junes Way and Palermo, south of Palermo ;39.36529;-121.51707;550;100%;;Butte;2019-01-04 08:50:00;2018-10-30;CAL FIRE Butte Unit/Butte County Fire Department;;https://www.fire.ca.gov/incidents/2018/10/30/june-fire/;N;
1997;7d1f523d-6940-4b64-bc5a-7ecb5a63538a;Rincon Fire;off Highway 9 and Rincon Crossing, north of Santa Cruz  ;37.0125;-122.046;17;100%;;Santa Cruz;2019-01-04 08:50:00;2018-11-03;CAL FIRE San Mateo - Santa Cruz Unit;;https://www.fire.ca.gov/incidents/2018/11/3/rincon-fire/;N;
1998;10d67079-faa9-4034-a4d7-8346b450e7de;Brushy Fire;near Dos Rios, off Highway 162, East of Highway 101 and West of Covelo;39.62194;-123.28774;35;100%;;Mendocino;2019-01-04 08:49:00;2018-11-08;CAL FIRE Mendocino Unit;;https://www.fire.ca.gov/incidents/2018/11/8/brushy-fire/;N;
1999;75dafe80-f18a-4a4a-9a37-4b564c5f6014;Camp Fire;Pulga Road at Camp Creek Road near Jarbo Gap;39.8134;-121.4347;153,336;100%;;Butte;2022-03-21 11:48:38;2018-11-08;Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS;Wildfire;https://www.fire.ca.gov/incidents/2018/11/8/camp-fire/;N;
2000;8030a870-0453-48e0-b243-86dbae075434;Adams Fire;off Adams Road at Barr Lane, southwest of Cottonwood ;40.346652;-122.308479;60;100%;;Tehama;2019-01-04 08:50:00;2018-11-05;CAL FIRE Tehama - Glenn Unit;;https://www.fire.ca.gov/incidents/2018/11/5/adams-fire/;N;
